country,year,location_type,cellphone_access,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type,age_group,house_size_groups
Kenya,2018-01-01,Urban,True,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government,2,1
Kenya,2018-01-01,Urban,True,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Private,4,2
Kenya,2018-01-01,Rural,True,Female,Parent,Married/Living together,No formal education,Remittance Dependent,7,1
Kenya,2018-01-01,Rural,True,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent,3,2
Kenya,2018-01-01,Urban,True,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,1,1
Kenya,2018-01-01,Rural,True,Female,Spouse,Married/Living together,Primary education,Self employed,2,1
Kenya,2018-01-01,Rural,True,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed,2,1
Kenya,2018-01-01,Urban,True,Female,Spouse,Married/Living together,Vocational/Specialised training,Self employed,1,1
Kenya,2018-01-01,Rural,True,Female,Child,Single/Never Married,Primary education,Informally employed,1,1
Kenya,2018-01-01,Urban,True,Male,Head of Household,Divorced/Seperated,Secondary education,Farming and Fishing,3,1
Kenya,2018-01-01,Rural,True,Male,Child,Single/Never Married,Primary education,Remittance Dependent,1,2
Kenya,2018-01-01,Rural,True,Male,Other,Married/Living together,Primary education,Informally employed,1,1
Kenya,2018-01-01,Rural,True,Female,Spouse,Married/Living together,Primary education,Informally employed,2,2
Kenya,2018-01-01,Urban,True,Female,Child,Married/Living together,Primary education,Informally employed,1,2
Kenya,2018-01-01,Urban,True,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,2,1
Kenya,2018-01-01,Rural,True,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,1,1
Kenya,2018-01-01,Rural,True,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Private,3,2
Kenya,2018-01-01,Rural,True,Female,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing,6,1
Kenya,2018-01-01,Urban,True,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,1,2
Kenya,2018-01-01,Urban,True,Male,Head of Household,Married/Living together,No formal education,Government Dependent,6,2
